ID;Slide Nr;Screen Nr;EN_Text
41;154;1;No, this step is performed. During calibration of the height sensors the driving level is usually first addressed.
41;154;1;During calibration the remote-control unit is deactivated.
41;154;1;No, this step is performed. During calibration of the height sensors the driving level specified by the vehicle manufacturer is addressed and the resulting count values are stored as driving level in the ECU.
41;154;1;No, during calibration of the height sensors the upper and the lower level are usually addressed.
41;154;1;Correct, during calibration the remote-control unit is deactivated, when the diagnosis mode is started in the software.
42;155;1;"Calibrate the height sensors of the rear axle of this motor vehicle! Your PIN2 during this exercise is ""ABCD""."
42;155;1;Loading simulation ...
42;155;1;As next arrange the spacer tube.
42;155;1;As next lower the vehicle frame on the spacer tube completely.
42;155;1;As next address the upper level.
42;155;1;As next address the lower level.
42;155;1;To remove the spacer tube, sufficient interspace is required. In this simulation the upper level has to be achieved before.
42;155;1;To arrange this spacer tube, sufficient interspace between the longitudinal beam and the axle is required. In this simulation the upper level has to be achieved before.
42;155;1;To arrange this spacer tube, sufficient interspace between the longitudinal beam and the axle is required.
42;155;1;Start the diagnosis software using the symbol on the right.
42;155;1;"Select the appropriate command in the ""System"" menu."
42;155;1;Confirm with OK.
42;155;1;"Click on ""Start calibration""."
42;155;1;"Enter your PIN2 ""ABCD""."
42;155;1;Confirm with OK.
42;155;1;"Activate ""Rear axle left"" and ""Rear axle right""."
42;155;1;To arrange the spacer tube, sufficient interspace is required. In this simulation the upper level has to be achieved before.
42;155;1;As next arrange the spacer tube.
42;155;1;As next lower the vehicle frame onto the spacer tube completely.
42;155;1;Store the current level as driving level.
42;155;1;Address the upper level.
42;155;1;Store the current level as upper level.
42;155;1;To be able to address the lower level, remove the spacer tube.
42;155;1;Address the lower level.
42;155;1;Store the current level as lower level.
43;157;1;By the used variant of the ECAS diagnostic software
43;157;1;By the current parameterization
43;157;1;By the specific hardware of the connected ECAS ECU
43;157;1;By the number of installed height sensors
43;157;1;Confirm your selection with
43;157;1;[ Ready ]
43;157;1;"To calibrate the height sensors, the two calibration types ""Calibration only for standard level"" and ""Three calibration levels"" are provided. Where is the calibration type defined?"
43;157;1;No, different variants of the ECAS diagnostic software regarding this are not provided.
43;157;1;The calibration type is defined by parameterization, using Bit 6 of the option parameter 1.
43;157;1;No, the hardware of the ECU has no effect on this.
43;157;1;No, the number of height sensors has nothing to do with that.
43;157;1;Right, this is defined using Bit 6 of the option parameter 1.
44;159;1;OK, we are through!I, for my share, don´t feel any pressure.Therefore I will perform the final test tomorrow. I´m shure, I will romp through. And my PIN2 has to wait one day.
